Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Attend
Tue Jan 9 2018,8:00 pm,Portland Trail Blazers,117,Oklahoma City Thunder,106,18203,
Tue Jan 9 2018,7:30 pm,Miami Heat,90,Toronto Raptors,89,19800,
Wed Jan 10 2018,7:30 pm,Detroit Pistons,114,Brooklyn Nets,80,13457,
Wed Jan 10 2018,7:00 pm,Dallas Mavericks,115,Charlotte Hornets,111,14462,
Wed Jan 10 2018,9:00 pm,Atlanta Hawks,110,Denver Nuggets,97,14182,
Wed Jan 10 2018,10:30 pm,Los Angeles Clippers,125,Golden State Warriors,106,19596,
Wed Jan 10 2018,8:00 pm,Portland Trail Blazers,112,Houston Rockets,121,18055,
Wed Jan 10 2018,7:00 pm,Miami Heat,114,Indiana Pacers,106,14540,
Wed Jan 10 2018,8:00 pm,New Orleans Pelicans,102,Memphis Grizzlies,105,14312,
Wed Jan 10 2018,8:00 pm,Orlando Magic,103,Milwaukee Bucks,110,14543,
Wed Jan 10 2018,8:00 pm,Oklahoma City Thunder,88,Minnesota Timberwolves,104,18978,
Wed Jan 10 2018,7:30 pm,Chicago Bulls,122,New York Knicks,119,Box Score,2OT,19812,
Wed Jan 10 2018,7:00 pm,Utah Jazz,107,Washington Wizards,104,15640,
Thu Jan 11 2018,10:30 pm,San Antonio Spurs,81,Los Angeles Lakers,93,18997,
Thu Jan 11 2018,3:00 pm,Boston Celtics,114,Philadelphia 76ers,103,19078,at London England
Thu Jan 11 2018,10:00 pm,Los Angeles Clippers,121,Sacramento Kings,115,17583,
Thu Jan 11 2018,8:00 pm,Cleveland Cavaliers,99,Toronto Raptors,133,19923,
Fri Jan 12 2018,7:30 pm,Brooklyn Nets,110,Atlanta Hawks,105,13093,
Fri Jan 12 2018,7:00 pm,Utah Jazz,88,Charlotte Hornets,99,14848,
Fri Jan 12 2018,9:00 pm,Memphis Grizzlies,78,Denver Nuggets,87,15607,
Fri Jan 12 2018,7:00 pm,Cleveland Cavaliers,95,Indiana Pacers,97,17923,
Fri Jan 12 2018,8:00 pm,Golden State Warriors,108,Milwaukee Bucks,94,18717,
Fri Jan 12 2018,8:00 pm,New York Knicks,108,Minnesota Timberwolves,118,18978,
Fri Jan 12 2018,8:00 pm,Portland Trail Blazers,113,New Orleans Pelicans,119,17003,
Fri Jan 12 2018,10:30 pm,Houston Rockets,112,Phoenix Suns,95,18055,
Fri Jan 12 2018,7:00 pm,Orlando Magic,119,Washington Wizards,125,18171,
Sat Jan 13 2018,8:00 pm,Detroit Pistons,105,Chicago Bulls,107,21613,
Sat Jan 13 2018,5:00 pm,Oklahoma City Thunder,101,Charlotte Hornets,91,19624,
Sat Jan 13 2018,2:00 pm,Los Angeles Lakers,107,Dallas Mavericks,101,20209,
Sat Jan 13 2018,3:30 pm,Sacramento Kings,105,Los Angeles Clippers,126,16656,
Sat Jan 13 2018,8:30 pm,Denver Nuggets,80,San Antonio Spurs,112,18418,
Sat Jan 13 2018,7:30 pm,Golden State Warriors,127,Toronto Raptors,125,20078,
Sat Jan 13 2018,7:00 pm,Brooklyn Nets,113,Washington Wizards,119,18354,
Sun Jan 14 2018,1:00 pm,Milwaukee Bucks,79,Miami Heat,97,19600,
Sun Jan 14 2018,9:00 pm,Portland Trail Blazers,103,Minnesota Timberwolves,120,14739,
Sun Jan 14 2018,3:30 pm,New Orleans Pelicans,123,New York Knicks,118,19812,
Sun Jan 14 2018,8:00 pm,Indiana Pacers,120,Phoenix Suns,97,17091,
Mon Jan 15 2018,3:00 pm,San Antonio Spurs,99,Atlanta Hawks,102,15806,
Mon Jan 15 2018,3:00 pm,New York Knicks,119,Brooklyn Nets,104,17732,
Mon Jan 15 2018,3:30 pm,Miami Heat,111,Chicago Bulls,119,20546,
Mon Jan 15 2018,8:00 pm,Golden State Warriors,118,Cleveland Cavaliers,108,20562,
Mon Jan 15 2018,12:30 pm,Charlotte Hornets,118,Detroit Pistons,107,17200,
Mon Jan 15 2018,10:30 pm,Houston Rockets,102,Los Angeles Clippers,113,17622,
Mon Jan 15 2018,5:30 pm,Los Angeles Lakers,114,Memphis Grizzlies,123,17794,
Mon Jan 15 2018,8:00 pm,Sacramento Kings,88,Oklahoma City Thunder,95,18203,
Mon Jan 15 2018,1:00 pm,Toronto Raptors,111,Philadelphia 76ers,117,20637,
Mon Jan 15 2018,9:00 pm,Indiana Pacers,109,Utah Jazz,94,18306,
Mon Jan 15 2018,2:00 pm,Milwaukee Bucks,104,Washington Wizards,95,19607,
Tue Jan 16 2018,7:30 pm,New Orleans Pelicans,116,Boston Celtics,113,18624,
Tue Jan 16 2018,9:00 pm,Dallas Mavericks,102,Denver Nuggets,105,14097,
Tue Jan 16 2018,7:00 pm,Minnesota Timberwolves,102,Orlando Magic,108,18589,
Tue Jan 16 2018,10:00 pm,Phoenix Suns,111,Portland Trail Blazers,118,18604,
Wed Jan 17 2018,7:30 pm,New Orleans Pelicans,93,Atlanta Hawks,94,10894,
Wed Jan 17 2018,7:30 pm,San Antonio Spurs,100,Brooklyn Nets,95,15425,
Wed Jan 17 2018,8:00 pm,Golden State Warriors,119,Chicago Bulls,112,21372,
Wed Jan 17 2018,7:00 pm,Washington Wizards,109,Charlotte Hornets,133,11528,
Wed Jan 17 2018,10:30 pm,Denver Nuggets,104,Los Angeles Clippers,109,15043,
Wed Jan 17 2018,8:00 pm,New York Knicks,99,Memphis Grizzlies,105,12885,
Wed Jan 17 2018,8:00 pm,Miami Heat,106,Milwaukee Bucks,101,16695,
Wed Jan 17 2018,8:00 pm,Los Angeles Lakers,90,Oklahoma City Thunder,114,18203,
Wed Jan 17 2018,10:00 pm,Utah Jazz,120,Sacramento Kings,105,17583,
Wed Jan 17 2018,7:30 pm,Detroit Pistons,91,Toronto Raptors,96,19800,
Thu Jan 18 2018,7:00 pm,Philadelphia 76ers,89,Boston Celtics,80,18624,
Thu Jan 18 2018,7:00 pm,Orlando Magic,103,Cleveland Cavaliers,104,20562,
Thu Jan 18 2018,9:30 pm,Minnesota Timberwolves,98,Houston Rockets,116,18055,
Thu Jan 18 2018,10:00 pm,Indiana Pacers,86,Portland Trail Blazers,100,19071,
Fri Jan 19 2018,7:30 pm,Miami Heat,95,Brooklyn Nets,101,17732,
Fri Jan 19 2018,9:00 pm,Phoenix Suns,108,Denver Nuggets,100,15732,
Fri Jan 19 2018,8:00 pm,Washington Wizards,122,Detroit Pistons,112,14744,
Fri Jan 19 2018,10:30 pm,Indiana Pacers,86,Los Angeles Lakers,99,18997,
Fri Jan 19 2018,8:00 pm,Sacramento Kings,88,Memphis Grizzlies,106,16831,
Fri Jan 19 2018,7:00 pm,San Antonio Spurs,83,Toronto Raptors,86,19800,
Fri Jan 19 2018,10:30 pm,New York Knicks,117,Utah Jazz,115,18306,
Sat Jan 20 2018,5:00 pm,Chicago Bulls,113,Atlanta Hawks,97,15597,
Sat Jan 20 2018,7:00 pm,Miami Heat,106,Charlotte Hornets,105,18687,
Sat Jan 20 2018,3:30 pm,Oklahoma City Thunder,148,Cleveland Cavaliers,124,20562,
Sat Jan 20 2018,8:30 pm,Golden State Warriors,108,Houston Rockets,116,18055,
Sat Jan 20 2018,9:00 pm,Toronto Raptors,109,Minnesota Timberwolves,115,17828,
Sat Jan 20 2018,7:00 pm,Memphis Grizzlies,104,New Orleans Pelicans,111,18212,
Sat Jan 20 2018,7:30 pm,Milwaukee Bucks,94,Philadelphia 76ers,116,20826,
Sat Jan 20 2018,10:00 pm,Dallas Mavericks,108,Portland Trail Blazers,117,19464,
Sat Jan 20 2018,9:00 pm,Los Angeles Clippers,113,Utah Jazz,125,18306,
Sun Jan 21 2018,1:00 pm,Orlando Magic,103,Boston Celtics,95,18624,
Sun Jan 21 2018,4:00 pm,Brooklyn Nets,101,Detroit Pistons,100,17554,
Sun Jan 21 2018,3:30 pm,New York Knicks,107,Los Angeles Lakers,127,18997,
Sun Jan 21 2018,7:00 pm,Indiana Pacers,94,San Antonio Spurs,86,18418,
Mon Jan 22 2018,7:30 pm,Utah Jazz,90,Atlanta Hawks,104,11096,
Mon Jan 22 2018,7:00 pm,Sacramento Kings,107,Charlotte Hornets,112,11806,
Mon Jan 22 2018,8:30 pm,Washington Wizards,75,Dallas Mavericks,98,19328,
Mon Jan 22 2018,9:00 pm,Portland Trail Blazers,101,Denver Nuggets,104,14474,
Mon Jan 22 2018,8:00 pm,Miami Heat,90,Houston Rockets,99,18055,
Mon Jan 22 2018,10:30 pm,Minnesota Timberwolves,126,Los Angeles Clippers,118,16347,
Mon Jan 22 2018,8:00 pm,Philadelphia 76ers,101,Memphis Grizzlies,105,14288,
Mon Jan 22 2018,8:00 pm,Phoenix Suns,105,Milwaukee Bucks,109,14766,
Mon Jan 22 2018,8:00 pm,Chicago Bulls,128,New Orleans Pelicans,132,Box Score,2OT,17101,
Tue Jan 23 2018,10:30 pm,New York Knicks,112,Golden State Warriors,123,19596,
Tue Jan 23 2018,10:30 pm,Boston Celtics,107,Los Angeles Lakers,108,18997,
Tue Jan 23 2018,8:00 pm,Brooklyn Nets,108,Oklahoma City Thunder,109,18203,
Tue Jan 23 2018,7:00 pm,Sacramento Kings,105,Orlando Magic,99,18846,
Tue Jan 23 2018,8:00 pm,Cleveland Cavaliers,102,San Antonio Spurs,114,18418,
Wed Jan 24 2018,7:30 pm,Toronto Raptors,108,Atlanta Hawks,93,12780,
Wed Jan 24 2018,7:00 pm,New Orleans Pelicans,101,Charlotte Hornets,96,14588,
Wed Jan 24 2018,8:00 pm,Houston Rockets,104,Dallas Mavericks,97,19378,
Wed Jan 24 2018,7:00 pm,Utah Jazz,98,Detroit Pistons,95,15682,
Wed Jan 24 2018,7:00 pm,Phoenix Suns,101,Indiana Pacers,116,14060,
Wed Jan 24 2018,10:30 pm,Boston Celtics,113,Los Angeles Clippers,102,19430,
Wed Jan 24 2018,8:00 pm,San Antonio Spurs,108,Memphis Grizzlies,85,15812,
Wed Jan 24 2018,7:00 pm,Chicago Bulls,101,Philadelphia 76ers,115,20547,
Wed Jan 24 2018,10:00 pm,Minnesota Timberwolves,114,Portland Trail Blazers,123,18920,
Thu Jan 25 2018,9:00 pm,New York Knicks,118,Denver Nuggets,130,15482,
Thu Jan 25 2018,10:30 pm,Minnesota Timberwolves,113,Golden State Warriors,126,19596,
Thu Jan 25 2018,7:30 pm,Sacramento Kings,89,Miami Heat,88,19600,
Thu Jan 25 2018,8:00 pm,Washington Wizards,112,Oklahoma City Thunder,121,18203,
Fri Jan 26 2018,8:00 pm,Los Angeles Lakers,108,Chicago Bulls,103,21827,
Fri Jan 26 2018,7:00 pm,Atlanta Hawks,110,Charlotte Hornets,121,15479,
Fri Jan 26 2018,7:30 pm,Indiana Pacers,108,Cleveland Cavaliers,115,20562,
Fri Jan 26 2018,8:30 pm,Portland Trail Blazers,107,Dallas Mavericks,93,19876,
Fri Jan 26 2018,8:00 pm,Los Angeles Clippers,109,Memphis Grizzlies,100,16369,
Fri Jan 26 2018,8:00 pm,Brooklyn Nets,91,Milwaukee Bucks,116,18717,
Fri Jan 26 2018,8:00 pm,Houston Rockets,113,New Orleans Pelicans,115,17186,
Fri Jan 26 2018,9:00 pm,New York Knicks,107,Phoenix Suns,85,17068,
Fri Jan 26 2018,8:30 pm,Philadelphia 76ers,97,San Antonio Spurs,78,18418,
Fri Jan 26 2018,7:30 pm,Utah Jazz,97,Toronto Raptors,93,19800,
Sat Jan 27 2018,7:30 pm,Washington Wizards,129,Atlanta Hawks,104,15843,
Sat Jan 27 2018,9:00 pm,Dallas Mavericks,89,Denver Nuggets,91,19520,
Sat Jan 27 2018,5:00 pm,Oklahoma City Thunder,121,Detroit Pistons,108,20491,
Sat Jan 27 2018,8:30 pm,Boston Celtics,105,Golden State Warriors,109,19596,
Sat Jan 27 2018,7:00 pm,Orlando Magic,112,Indiana Pacers,114,17923,
Sat Jan 27 2018,7:30 pm,Charlotte Hornets,91,Miami Heat,95,19600,
Sat Jan 27 2018,9:00 pm,Brooklyn Nets,97,Minnesota Timberwolves,111,16231,
Sun Jan 28 2018,3:30 pm,Milwaukee Bucks,110,Chicago Bulls,96,21630,
Sun Jan 28 2018,6:00 pm,Detroit Pistons,104,Cleveland Cavaliers,121,20562,
Sun Jan 28 2018,3:30 pm,Phoenix Suns,102,Houston Rockets,113,18055,
Sun Jan 28 2018,4:00 pm,Los Angeles Clippers,112,New Orleans Pelicans,103,16378,
Sun Jan 28 2018,6:00 pm,Philadelphia 76ers,112,Oklahoma City Thunder,122,18202,
Sun Jan 28 2018,7:00 pm,Sacramento Kings,98,San Antonio Spurs,113,18418,
Sun Jan 28 2018,6:00 pm,Los Angeles Lakers,111,Toronto Raptors,123,19800,
Mon Jan 29 2018,7:30 pm,Minnesota Timberwolves,100,Atlanta Hawks,105,12589,
Mon Jan 29 2018,8:30 pm,Miami Heat,95,Dallas Mavericks,88,19555,
Mon Jan 29 2018,9:00 pm,Boston Celtics,111,Denver Nuggets,110,19520,
Mon Jan 29 2018,7:00 pm,Charlotte Hornets,96,Indiana Pacers,105,14225,
Mon Jan 29 2018,8:00 pm,Phoenix Suns,109,Memphis Grizzlies,120,13202,
Mon Jan 29 2018,8:00 pm,Philadelphia 76ers,95,Milwaukee Bucks,107,14126,
Tue Jan 30 2018,8:00 pm,Cleveland Cavaliers,114,Detroit Pistons,125,18508,
Tue Jan 30 2018,8:00 pm,Orlando Magic,107,Houston Rockets,114,18055,
Tue Jan 30 2018,10:30 pm,Portland Trail Blazers,104,Los Angeles Clippers,96,16705,
Tue Jan 30 2018,8:00 pm,Sacramento Kings,114,New Orleans Pelicans,103,14292,
Tue Jan 30 2018,7:30 pm,Brooklyn Nets,95,New York Knicks,111,19505,
Tue Jan 30 2018,8:30 pm,Denver Nuggets,104,San Antonio Spurs,106,18418,
Tue Jan 30 2018,7:30 pm,Minnesota Timberwolves,104,Toronto Raptors,109,19800,
Tue Jan 30 2018,9:00 pm,Golden State Warriors,99,Utah Jazz,129,18306,
Tue Jan 30 2018,7:00 pm,Oklahoma City Thunder,96,Washington Wizards,102,20356,
Wed Jan 31 2018,7:30 pm,Charlotte Hornets,123,Atlanta Hawks,110,13103,
Wed Jan 31 2018,8:00 pm,New York Knicks,73,Boston Celtics,103,18624,
Wed Jan 31 2018,7:30 pm,Philadelphia 76ers,108,Brooklyn Nets,116,15577,
Wed Jan 31 2018,7:30 pm,Miami Heat,89,Cleveland Cavaliers,91,20562,
Wed Jan 31 2018,7:00 pm,Memphis Grizzlies,101,Indiana Pacers,105,15093,
Wed Jan 31 2018,7:00 pm,Los Angeles Lakers,105,Orlando Magic,127,18553,
Wed Jan 31 2018,10:30 pm,Dallas Mavericks,88,Phoenix Suns,102,15923,
Wed Jan 31 2018,10:00 pm,Chicago Bulls,108,Portland Trail Blazers,124,19422,
Thu Feb 1 2018,10:30 pm,Oklahoma City Thunder,124,Denver Nuggets,127,18407,
Thu Feb 1 2018,7:00 pm,Memphis Grizzlies,102,Detroit Pistons,104,17481,
Thu Feb 1 2018,8:00 pm,Milwaukee Bucks,89,Minnesota Timberwolves,108,17199,
Thu Feb 1 2018,8:00 pm,Houston Rockets,102,San Antonio Spurs,91,18418,
Thu Feb 1 2018,7:00 pm,Toronto Raptors,119,Washington Wizards,122,15599,
Fri Feb 2 2018,7:30 pm,Atlanta Hawks,110,Boston Celtics,119,18624,
Fri Feb 2 2018,7:30 pm,Los Angeles Lakers,102,Brooklyn Nets,99,17732,
Fri Feb 2 2018,7:00 pm,Indiana Pacers,126,Charlotte Hornets,133,17135,
Fri Feb 2 2018,8:00 pm,New York Knicks,90,Milwaukee Bucks,92,18717,
Fri Feb 2 2018,9:00 pm,New Orleans Pelicans,114,Oklahoma City Thunder,100,18203,
Fri Feb 2 2018,8:00 pm,Miami Heat,97,Philadelphia 76ers,103,20636,
Fri Feb 2 2018,9:00 pm,Utah Jazz,129,Phoenix Suns,97,16560,
Fri Feb 2 2018,10:30 pm,Golden State Warriors,119,Sacramento Kings,104,17583,
Fri Feb 2 2018,7:30 pm,Portland Trail Blazers,105,Toronto Raptors,130,19800,
Sat Feb 3 2018,8:30 pm,Houston Rockets,120,Cleveland Cavaliers,88,20562,
Sat Feb 3 2018,9:00 pm,Golden State Warriors,108,Denver Nuggets,115,20103,
Sat Feb 3 2018,7:00 pm,Miami Heat,107,Detroit Pistons,111,18747,
Sat Feb 3 2018,7:00 pm,Philadelphia 76ers,92,Indiana Pacers,100,17923,
Sat Feb 3 2018,3:30 pm,Chicago Bulls,103,Los Angeles Clippers,113,19068,
Sat Feb 3 2018,9:00 pm,New Orleans Pelicans,107,Minnesota Timberwolves,118,17954,
Sat Feb 3 2018,7:00 pm,Washington Wizards,115,Orlando Magic,98,18846,
Sat Feb 3 2018,10:00 pm,Dallas Mavericks,106,Sacramento Kings,99,17583,
Sat Feb 3 2018,9:00 pm,Utah Jazz,120,San Antonio Spurs,111,18418,
Sun Feb 4 2018,12:00 pm,Portland Trail Blazers,96,Boston Celtics,97,18624,
Sun Feb 4 2018,12:00 pm,Milwaukee Bucks,109,Brooklyn Nets,94,14392,
Sun Feb 4 2018,12:00 pm,Atlanta Hawks,99,New York Knicks,96,19441,
Sun Feb 4 2018,2:00 pm,Los Angeles Lakers,108,Oklahoma City Thunder,104,18203,
Sun Feb 4 2018,3:00 pm,Charlotte Hornets,115,Phoenix Suns,110,14487,
Sun Feb 4 2018,12:00 pm,Memphis Grizzlies,86,Toronto Raptors,101,19800,
Mon Feb 5 2018,9:00 pm,Charlotte Hornets,104,Denver Nuggets,121,14410,
Mon Feb 5 2018,7:00 pm,Portland Trail Blazers,91,Detroit Pistons,111,13810,
Mon Feb 5 2018,7:00 pm,Washington Wizards,111,Indiana Pacers,102,13169,
Mon Feb 5 2018,10:30 pm,Dallas Mavericks,101,Los Angeles Clippers,104,15127,
Mon Feb 5 2018,7:30 pm,Orlando Magic,111,Miami Heat,109,19600,
Mon Feb 5 2018,8:00 pm,Utah Jazz,133,New Orleans Pelicans,109,14293,
Mon Feb 5 2018,10:00 pm,Chicago Bulls,98,Sacramento Kings,104,17583,
Tue Feb 6 2018,7:30 pm,Memphis Grizzlies,82,Atlanta Hawks,108,11866,
Tue Feb 6 2018,7:30 pm,Houston Rockets,123,Brooklyn Nets,113,15064,
Tue Feb 6 2018,10:30 pm,Oklahoma City Thunder,125,Golden State Warriors,105,19596,
Tue Feb 6 2018,10:30 pm,Phoenix Suns,93,Los Angeles Lakers,112,18997,
Tue Feb 6 2018,7:30 pm,Milwaukee Bucks,103,New York Knicks,89,19812,
Tue Feb 6 2018,7:00 pm,Cleveland Cavaliers,98,Orlando Magic,116,18846,
Tue Feb 6 2018,8:00 pm,Washington Wizards,102,Philadelphia 76ers,115,20530,
Tue Feb 6 2018,7:30 pm,Boston Celtics,91,Toronto Raptors,111,20017,
Wed Feb 7 2018,8:00 pm,Minnesota Timberwolves,138,Cleveland Cavaliers,140,20562,
Wed Feb 7 2018,7:00 pm,Brooklyn Nets,106,Detroit Pistons,115,15114,
Wed Feb 7 2018,8:00 pm,Utah Jazz,92,Memphis Grizzlies,88,13187,
Wed Feb 7 2018,7:30 pm,Houston Rockets,109,Miami Heat,101,19600,
Wed Feb 7 2018,10:30 pm,San Antonio Spurs,129,Phoenix Suns,81,15993,
Thu Feb 8 2018,10:30 pm,Dallas Mavericks,103,Golden State Warriors,121,19596,
Thu Feb 8 2018,10:30 pm,Oklahoma City Thunder,81,Los Angeles Lakers,106,18997,
Thu Feb 8 2018,7:00 pm,Atlanta Hawks,98,Orlando Magic,100,16215,
Thu Feb 8 2018,10:00 pm,Charlotte Hornets,103,Portland Trail Blazers,109,19178,
Thu Feb 8 2018,7:30 pm,New York Knicks,88,Toronto Raptors,113,19800,
Thu Feb 8 2018,8:00 pm,Boston Celtics,110,Washington Wizards,104,20356,
Fri Feb 9 2018,7:30 pm,Cleveland Cavaliers,123,Atlanta Hawks,107,16438,
Fri Feb 9 2018,7:30 pm,Indiana Pacers,97,Boston Celtics,91,18624,
Fri Feb 9 2018,9:30 pm,Minnesota Timberwolves,113,Chicago Bulls,114,21558,
Fri Feb 9 2018,7:00 pm,Los Angeles Clippers,108,Detroit Pistons,95,16697,
Fri Feb 9 2018,8:00 pm,Denver Nuggets,104,Houston Rockets,130,18055,
Fri Feb 9 2018,8:00 pm,Milwaukee Bucks,85,Miami Heat,91,20018,
Fri Feb 9 2018,7:00 pm,New Orleans Pelicans,82,Philadelphia 76ers,100,20489,
Fri Feb 9 2018,10:30 pm,Portland Trail Blazers,118,Sacramento Kings,100,17583,
Fri Feb 9 2018,9:00 pm,Charlotte Hornets,94,Utah Jazz,106,18306,
Sat Feb 10 2018,6:00 pm,New Orleans Pelicans,138,Brooklyn Nets,128,Box Score,2OT,16572,
Sat Feb 10 2018,8:00 pm,Washington Wizards,101,Chicago Bulls,90,21112,
Sat Feb 10 2018,8:30 pm,Los Angeles Lakers,123,Dallas Mavericks,130,20162,
Sat Feb 10 2018,8:30 pm,San Antonio Spurs,105,Golden State Warriors,122,19596,
Sat Feb 10 2018,7:00 pm,Milwaukee Bucks,111,Orlando Magic,104,18347,
Sat Feb 10 2018,7:00 pm,Los Angeles Clippers,98,Philadelphia 76ers,112,20504,
Sat Feb 10 2018,9:00 pm,Denver Nuggets,123,Phoenix Suns,113,16325,
Sun Feb 11 2018,3:30 pm,Detroit Pistons,115,Atlanta Hawks,118,15214,
Sun Feb 11 2018,3:30 pm,Cleveland Cavaliers,121,Boston Celtics,99,18624,
Sun Feb 11 2018,1:00 pm,Toronto Raptors,123,Charlotte Hornets,103,18320,
Sun Feb 11 2018,7:00 pm,Dallas Mavericks,97,Houston Rockets,104,18055,
Sun Feb 11 2018,5:00 pm,New York Knicks,113,Indiana Pacers,121,17923,
Sun Feb 11 2018,7:00 pm,Sacramento Kings,106,Minnesota Timberwolves,111,18068,
Sun Feb 11 2018,7:00 pm,Memphis Grizzlies,92,Oklahoma City Thunder,110,18203,
Sun Feb 11 2018,9:00 pm,Utah Jazz,115,Portland Trail Blazers,96,19730,
Mon Feb 12 2018,7:30 pm,Los Angeles Clippers,114,Brooklyn Nets,101,13735,
Mon Feb 12 2018,8:00 pm,Orlando Magic,101,Chicago Bulls,105,18611,
Mon Feb 12 2018,7:00 pm,New Orleans Pelicans,118,Detroit Pistons,103,14453,
Mon Feb 12 2018,10:30 pm,Phoenix Suns,83,Golden State Warriors,129,19596,
Mon Feb 12 2018,7:00 pm,New York Knicks,92,Philadelphia 76ers,108,20589,
Mon Feb 12 2018,9:00 pm,San Antonio Spurs,99,Utah Jazz,101,18306,
Tue Feb 13 2018,8:30 pm,Sacramento Kings,114,Dallas Mavericks,109,19801,
Tue Feb 13 2018,10:30 pm,San Antonio Spurs,109,Denver Nuggets,117,17623,
Tue Feb 13 2018,8:00 pm,Atlanta Hawks,92,Milwaukee Bucks,97,14720,
Tue Feb 13 2018,8:00 pm,Houston Rockets,126,Minnesota Timberwolves,108,18978,
Tue Feb 13 2018,8:00 pm,Cleveland Cavaliers,120,Oklahoma City Thunder,112,18203,
Tue Feb 13 2018,7:00 pm,Miami Heat,112,Toronto Raptors,115,19800,
Wed Feb 14 2018,8:00 pm,Los Angeles Clippers,129,Boston Celtics,119,18624,
Wed Feb 14 2018,7:30 pm,Indiana Pacers,108,Brooklyn Nets,103,13159,
Wed Feb 14 2018,8:00 pm,Toronto Raptors,122,Chicago Bulls,98,21006,
Wed Feb 14 2018,7:00 pm,Atlanta Hawks,98,Detroit Pistons,104,15849,
Wed Feb 14 2018,8:00 pm,Sacramento Kings,91,Houston Rockets,100,18055,
Wed Feb 14 2018,8:00 pm,Oklahoma City Thunder,121,Memphis Grizzlies,114,16012,
Wed Feb 14 2018,8:00 pm,Los Angeles Lakers,117,New Orleans Pelicans,139,15436,
Wed Feb 14 2018,7:30 pm,Washington Wizards,118,New York Knicks,113,19812,
Wed Feb 14 2018,7:00 pm,Charlotte Hornets,104,Orlando Magic,102,18428,
Wed Feb 14 2018,7:00 pm,Miami Heat,102,Philadelphia 76ers,104,20492,
Wed Feb 14 2018,10:30 pm,Golden State Warriors,117,Portland Trail Blazers,123,19520,
Wed Feb 14 2018,9:00 pm,Phoenix Suns,97,Utah Jazz,107,18306,
Thu Feb 15 2018,8:00 pm,Denver Nuggets,134,Milwaukee Bucks,123,15486,
Thu Feb 15 2018,9:00 pm,Los Angeles Lakers,111,Minnesota Timberwolves,119,17534,
Thu Feb 22 2018,8:00 pm,Philadelphia 76ers,116,Chicago Bulls,115,21312,
Thu Feb 22 2018,7:00 pm,Brooklyn Nets,96,Charlotte Hornets,111,14112,
Thu Feb 22 2018,8:00 pm,Washington Wizards,110,Cleveland Cavaliers,103,20562,
Thu Feb 22 2018,10:30 pm,Los Angeles Clippers,127,Golden State Warriors,134,19596,
Thu Feb 22 2018,7:00 pm,New York Knicks,120,Orlando Magic,113,18846,
Thu Feb 22 2018,10:00 pm,Oklahoma City Thunder,110,Sacramento Kings,107,17583,
Fri Feb 23 2018,9:00 pm,San Antonio Spurs,119,Denver Nuggets,122,20027,
Fri Feb 23 2018,7:00 pm,Boston Celtics,110,Detroit Pistons,98,20491,
Fri Feb 23 2018,8:00 pm,Minnesota Timberwolves,102,Houston Rockets,120,18055,
Fri Feb 23 2018,7:00 pm,Atlanta Hawks,93,Indiana Pacers,116,17923,
Fri Feb 23 2018,10:30 pm,Dallas Mavericks,102,Los Angeles Lakers,124,18997,
Fri Feb 23 2018,8:00 pm,Cleveland Cavaliers,112,Memphis Grizzlies,89,18119,
Fri Feb 23 2018,8:00 pm,Miami Heat,123,New Orleans Pelicans,124,17751,
Fri Feb 23 2018,9:00 pm,Los Angeles Clippers,128,Phoenix Suns,117,17126,
Fri Feb 23 2018,7:30 pm,Milwaukee Bucks,122,Toronto Raptors,119,20047,
Fri Feb 23 2018,9:00 pm,Portland Trail Blazers,100,Utah Jazz,81,18306,
Fri Feb 23 2018,7:00 pm,Charlotte Hornets,122,Washington Wizards,105,17824,
Sat Feb 24 2018,8:30 pm,Oklahoma City Thunder,80,Golden State Warriors,112,19596,
Sat Feb 24 2018,7:30 pm,Memphis Grizzlies,89,Miami Heat,115,19600,
Sat Feb 24 2018,9:00 pm,Chicago Bulls,104,Minnesota Timberwolves,122,18978,
Sat Feb 24 2018,7:30 pm,Boston Celtics,121,New York Knicks,112,19812,
Sat Feb 24 2018,5:00 pm,Orlando Magic,105,Philadelphia 76ers,116,20594,
Sat Feb 24 2018,9:00 pm,Portland Trail Blazers,106,Phoenix Suns,104,17112,
Sat Feb 24 2018,10:00 pm,Los Angeles Lakers,113,Sacramento Kings,108,17583,
Sat Feb 24 2018,9:00 pm,Dallas Mavericks,90,Utah Jazz,97,18306,
Sun Feb 25 2018,1:00 pm,Detroit Pistons,98,Charlotte Hornets,114,17894,
Sun Feb 25 2018,3:30 pm,San Antonio Spurs,110,Cleveland Cavaliers,94,20562,
Sun Feb 25 2018,8:00 pm,Houston Rockets,119,Denver Nuggets,114,20044,
Sun Feb 25 2018,3:00 pm,New Orleans Pelicans,123,Milwaukee Bucks,121,18717,
Sun Feb 25 2018,8:00 pm,Philadelphia 76ers,94,Washington Wizards,109,17180,
Mon Feb 26 2018,7:30 pm,Los Angeles Lakers,123,Atlanta Hawks,104,16328,
Mon Feb 26 2018,7:30 pm,Memphis Grizzlies,98,Boston Celtics,109,18624,
Mon Feb 26 2018,7:30 pm,Chicago Bulls,87,Brooklyn Nets,104,15081,
Mon Feb 26 2018,8:30 pm,Indiana Pacers,103,Dallas Mavericks,109,19536,
Mon Feb 26 2018,8:00 pm,Phoenix Suns,116,New Orleans Pelicans,125,14302,
Mon Feb 26 2018,7:30 pm,Golden State Warriors,125,New York Knicks,111,19812,
